degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random,  Target 
10.0,0.14705882352941177,3.0,1.0,1.0,0.6403124237432849,0.010732813478842694,0.14705882352941177,5.0,0.017825311942959,0.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.7574601964354981,
10.0,0.29411764705882354,3.0,1.0,1.3,0.66332495807108,0.48897808994864833,0.31633986928104574,14.250000000000002,0.25222816399286985,0.0,0.0,1.0,1.0,1.0,1.0,10.0,2.0,10.0,0.0,0.038461538461538464,0.0,0.0,1.0,0.0,-0.7872761364899724,
2.0,0.29411764705882354,3.0,1.0,1.4,1.0,0.5001397238029832,0.33105335157318744,14.500000000000002,0.2736185383244207,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,10.0,0.0,0.02857142857142857,0.0,0.0,1.0,0.0,0.304078206562133,
1.0,0.058823529411764705,2.0,2.0,2.0,0.0,0.09666214749987465,0.2333654773384764,8.916666666666666,0.0374331550802139,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7043310101776363,
2.0,0.029411764705882353,10.0,10.0,2.0,0.0,0.04451898625676809,0.1715095676824947,6.800000000000001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.178508776655274,
1.0,0.058823529411764705,10.0,10.0,1.0,0.0,0.00031901124108173353,0.058823529411764705,2.0,0.0017825311942959,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4332158499565356,
3.0,0.058823529411764705,10.0,2.0,1.0,3.7712361663282534,0.00031901124108173353,0.058823529411764705,2.0,0.0017825311942959,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.466664446105245,
1.0,0.029411764705882353,10.0,10.0,5.0,0.0,0.004799767518488659,0.08169934640522876,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.2273685808691985,
1.0,0.029411764705882353,10.0,10.0,5.0,0.0,0.004799767518488659,0.08169934640522876,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4825269379482473,
1.0,0.029411764705882353,10.0,10.0,5.0,0.0,0.004799767518488659,0.08169934640522876,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5268113983467729,
1.0,0.029411764705882353,10.0,10.0,5.0,0.0,0.004799767518488659,0.08169934640522876,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3320478220833402,
1.0,0.029411764705882353,10.0,10.0,5.0,0.0,0.004799767518488659,0.08169934640522876,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2275779483589167,
1.0,0.058823529411764705,10.0,10.0,10.0,0.0,0.28232532268816146,0.30946291560102307,11.416666666666668,0.08021390374331551,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.058823529411764705,0.0,0.0,1.0,0.0,0.5755051621811339,
