degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
12.0,0.41379310344827586,26.0,6.0,16.416666666666668,6.251111012363233,0.15726699920246123,0.6304347826086957,20.5,0.010536603516899083,4.0,1.0,4.0,6.0,5.0,4.0,54.0,7.0,10.0,0.6363636363636364,0.40561959654178675,0.030297106198778918,0.0303660057772961,42.0,10.0,0.6168463132083806,
11.0,0.3793103448275862,24.0,11.0,14.454545454545455,3.7746435440048534,0.13218861894883088,0.6170212765957447,20.0,0.008586480569239191,0.0,5.0,3.0,5.0,2.0,2.0,41.0,6.0,10.0,0.5454545454545454,0.38943248532289626,0.028134121535942823,0.025563305193252606,30.0,10.0,0.25166755063009344,
10.0,0.3448275862068966,26.0,11.0,16.7,4.817675788178362,0.13535808674207933,0.6041666666666666,19.5,0.004287563831898807,4.0,1.0,0.0,1.0,0.0,4.0,41.0,6.0,9.0,0.6888888888888889,0.44029850746268656,0.025738236739316415,0.026172489185379566,31.0,10.0,1.3489121428715416,
11.0,0.3793103448275862,26.0,6.0,14.181818181818182,5.490788680196909,0.12787469592012737,0.6170212765957447,20.0,0.012183588168809842,2.0,0.0,2.0,1.0,0.0,5.0,38.0,5.0,11.0,0.4909090909090909,0.3566569484936832,0.028514816077725984,0.02469801531344346,27.0,10.0,0.6080219128324865,


25.0,0.8620689655172413,26.0,5.0,13.28,5.744701906974809,0.28176218613318615,0.8787878787878788,27.0,0.08726929884565353,1.0,6.0,3.0,8.0,0.0,0.0,160.0,8.0,45.0,0.45,0.3420306296086217,0.059415034550231435,0.054532426483958445,135.0,10.0,-0.8042067878774397,
6.0,0.20689655172413793,26.0,12.0,20.333333333333332,5.676462121975467,0.0938641791582513,0.5576923076923077,17.5,0.0009059905611629751,4.0,1.0,0.0,0.0,1.0,1.0,18.0,6.0,2.0,0.8,0.553072625698324,0.017338051781273414,0.018098818940724296,12.0,6.0,-0.5221869472185182,
8.0,0.27586206896551724,26.0,13.0,20.0,4.123105625617661,0.12468637827594196,0.58,18.5,0.0006028454304316373,2.0,0.0,0.0,0.0,1.0,1.0,33.0,7.0,4.0,0.8928571428571429,0.5457317073170732,0.021348904766253552,0.0240717006264859,25.0,8.0,-0.09616068035008217,
5.0,0.1724137931034483,26.0,16.0,21.4,3.7202150475476548,0.08250579755084089,0.5471698113207547,17.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,1.0,1.0,0.6234309623430963,0.015165014290092644,0.015926215744195785,10.0,5.0,-0.2764672816469633,
12.0,0.41379310344827586,26.0,11.0,16.5,5.737304826019502,0.1571323574100548,0.6304347826086957,20.5,0.008167352625480705,4.0,1.0,0.0,4.0,1.0,1.0,54.0,7.0,12.0,0.6363636363636364,0.4034334763948498,0.030168424383452956,0.030317525992854654,42.0,10.0,-1.129538190960221,
6.0,0.20689655172413793,25.0,11.0,17.833333333333332,5.927806414592913,0.08358293189009273,0.5576923076923077,17.5,0.00158445823470454,0.0,2.0,0.0,1.0,1.0,1.0,16.0,5.0,3.0,0.6666666666666666,0.44345238095238093,0.017506299223868007,0.01612216024887345,10.0,6.0,-1.174155355411152,
6.0,0.20689655172413793,26.0,11.0,19.5,5.909032633745278,0.0894236928446857,0.5576923076923077,17.5,0.0010741652983032293,5.0,2.0,0.0,0.0,1.0,1.0,18.0,6.0,2.0,0.8,0.48324022346368717,0.017442484803807896,0.017233918810840868,12.0,6.0,-0.3806718607156043,
15.0,0.5172413793103449,26.0,11.0,17.266666666666666,5.144144459696114,0.20788692747560036,0.6744186046511628,22.0,0.010516078065339149,7.0,7.0,4.0,2.0,1.0,1.0,87.0,8.0,16.0,0.6857142857142857,0.44014084507042256,0.03610785666761479,0.04015747280934632,72.0,10.0,0.025743501307612635,
11.0,0.3793103448275862,26.0,10.0,17.454545454545453,5.549179077102492,0.15446106424871028,0.6170212765957447,20.0,0.00490371697268249,7.0,7.0,1.0,2.0,1.0,1.0,50.0,8.0,6.0,0.7090909090909091,0.4702886247877759,0.027768096915807634,0.029855707940203563,39.0,10.0,-1.2348469200738315,
6.0,0.20689655172413793,26.0,12.0,20.833333333333332,4.597704741377907,0.09606691888202126,0.5576923076923077,17.5,0.0,2.0,0.0,0.0,0.0,1.0,1.0,21.0,7.0,1.0,1.0,0.5826330532212886,0.017297351889246283,0.018525811756041788,15.0,6.0,-0.26452351230923793,
10.0,0.3448275862068966,26.0,11.0,18.6,5.499090833947008,0.1448234047482547,0.6041666666666666,19.5,0.0034640920108900404,6.0,2.0,0.0,2.0,1.0,1.0,43.0,7.0,7.0,0.7333333333333333,0.4624277456647399,0.025684192323456333,0.02793916295028757,33.0,10.0,0.8968065964788969,
26.0,0.896551724137931,25.0,5.0,13.307692307692308,5.419120215064937,0.29239888773329775,0.90625,27.5,0.09198737086668121,0.0,5.0,7.0,1.0,2.0,2.0,171.0,8.0,51.0,0.4461538461538462,0.33738074588031225,0.06134848802079662,0.0565795913474834,145.0,10.0,0.11949403677096286,
22.0,0.7586206896551724,26.0,6.0,13.727272727272727,6.069160629263461,0.25315349808265786,0.8055555555555556,25.5,0.060494308647018005,3.0,4.0,5.0,9.0,3.0,3.0,131.0,8.0,30.0,0.47186147186147187,0.34905885156063854,0.05269500414099529,0.0489695349168234,109.0,10.0,1.2357870386601042,
21.0,0.7241379310344828,26.0,5.0,14.380952380952381,6.027525674738946,0.2528168936016417,0.7837837837837838,25.0,0.045847071647564255,4.0,1.0,8.0,4.0,5.0,4.0,131.0,8.0,32.0,0.5238095238095238,0.37229987293519695,0.050134230944668595,0.048916378377332974,110.0,10.0,-1.5230091308433171,
24.0,0.8275862068965517,26.0,6.0,14.25,5.157922708481261,0.2842153595908321,0.8529411764705882,26.5,0.06096464427745216,2.0,0.0,9.0,6.0,4.0,5.0,166.0,8.0,61.0,0.5144927536231884,0.35140330642060746,0.05617112995904458,0.05495646241551115,142.0,10.0,-0.6815646873353868,
16.0,0.5517241379310345,26.0,5.0,15.875,6.203577596838779,0.206570130745865,0.6904761904761905,22.5,0.018962462004333925,6.0,2.0,2.0,3.0,6.0,6.0,89.0,8.0,19.0,0.6083333333333333,0.4004089979550102,0.038912525619646934,0.0399260396575667,73.0,10.0,-0.2639181513991899,
19.0,0.6551724137931034,26.0,5.0,14.736842105263158,6.068400511217345,0.23169967488060986,0.7435897435897436,24.0,0.039630053854191785,5.0,3.0,6.0,7.0,7.0,7.0,112.0,8.0,24.0,0.543859649122807,0.37184554575858925,0.045658264389227904,0.044804562916965565,93.0,10.0,1.637455554992227,
18.0,0.6206896551724138,26.0,8.0,15.333333333333334,5.587684871413404,0.22756078618203474,0.725,23.5,0.023352215655171323,5.0,3.0,6.0,5.0,7.0,7.0,110.0,8.0,30.0,0.6013071895424836,0.39231278992710406,0.042875386167330026,0.04401046914116852,92.0,10.0,-0.2453633875039181,
15.0,0.5172413793103449,26.0,11.0,17.133333333333333,5.17515431868676,0.2054956892424613,0.6744186046511628,22.0,0.010933278544115983,6.0,2.0,2.0,0.0,6.0,6.0,85.0,8.0,17.0,0.6666666666666666,0.4352629253203712,0.036111588833673366,0.039689680849187225,70.0,10.0,0.13124639535414587,
15.0,0.5172413793103449,26.0,10.0,16.066666666666666,5.519259209551787,0.1954217903346087,0.6744186046511628,22.0,0.01351042225426462,3.0,4.0,5.0,3.0,3.0,3.0,82.0,8.0,18.0,0.638095238095238,0.4073385973060845,0.03636742681609284,0.037768896134302524,67.0,10.0,-0.0830818333499731,
12.0,0.41379310344827586,26.0,6.0,16.583333333333332,6.885471822774545,0.16002984878264218,0.6304347826086957,20.5,0.007921846899679414,6.0,2.0,2.0,3.0,6.0,6.0,59.0,8.0,7.0,0.7121212121212122,0.42246376811594205,0.0305441822565264,0.0309078985508135,47.0,10.0,-0.9782138620735464,
12.0,0.41379310344827586,26.0,6.0,17.0,6.429100507328637,0.161459744617999,0.6304347826086957,20.5,0.010195373865324604,7.0,7.0,1.0,2.0,8.0,8.0,56.0,8.0,8.0,0.6666666666666666,0.4153846153846154,0.030323565507159225,0.03116023666217589,44.0,10.0,0.25004765602511675,
11.0,0.3793103448275862,26.0,6.0,16.454545454545453,6.583224360084245,0.14501190325762375,0.6170212765957447,20.0,0.007580822297571067,8.0,8.0,1.0,0.0,5.0,4.0,47.0,7.0,7.0,0.6545454545454545,0.4144222415291051,0.028259622857671717,0.027983301256327066,36.0,10.0,0.649917632646847,
13.0,0.4482758620689655,26.0,6.0,15.076923076923077,5.7306401637505155,0.16023181147125193,0.6444444444444445,21.0,0.016002121851875547,1.0,4.0,1.0,5.0,3.0,0.0,54.0,7.0,12.0,0.5256410256410257,0.38260300850228907,0.032591795988793006,0.030962603554627537,41.0,10.0,0.039550140925859706,
13.0,0.4482758620689655,25.0,6.0,15.384615384615385,5.6912680963365885,0.1663391631748097,0.6444444444444445,21.0,0.011790344302659574,0.0,5.0,1.0,1.0,2.0,2.0,61.0,7.0,15.0,0.6153846153846154,0.42251655629139073,0.03247194062079421,0.03220232151237955,48.0,10.0,0.8217437595120085,
11.0,0.3793103448275862,26.0,11.0,18.727272727272727,5.118432094639727,0.16348475717579236,0.6170212765957447,20.0,0.0031001087035569795,6.0,2.0,0.0,0.0,6.0,6.0,54.0,8.0,7.0,0.7818181818181819,0.5044390637610977,0.027608855730710247,0.031581284934150876,43.0,10.0,-0.3774822153647441,
12.0,0.41379310344827586,26.0,6.0,16.416666666666668,6.251111012363233,0.15726699920246123,0.6304347826086957,20.5,0.010536603516899083,4.0,1.0,4.0,2.0,5.0,4.0,54.0,7.0,10.0,0.6363636363636364,0.40561959654178675,0.030297106198778918,0.030366005777296107,42.0,10.0,1.4772786731840144,
11.0,0.3793103448275862,24.0,11.0,14.454545454545455,3.7746435440048534,0.13218861894883088,0.6170212765957447,20.0,0.008586480569239191,0.0,5.0,3.0,1.0,2.0,2.0,41.0,6.0,10.0,0.5454545454545454,0.38943248532289626,0.028134121535942823,0.0255633051932526,30.0,10.0,-1.0948177240900254,
10.0,0.3448275862068966,26.0,11.0,16.7,4.817675788178362,0.13535808674207933,0.6041666666666666,19.5,0.004287563831898807,4.0,1.0,0.0,0.0,0.0,4.0,41.0,6.0,9.0,0.6888888888888889,0.44029850746268656,0.025738236739316415,0.026172489185379573,31.0,10.0,2.689731224503146,
11.0,0.3793103448275862,26.0,6.0,14.181818181818182,5.490788680196909,0.12787469592012737,0.6170212765957447,20.0,0.012183588168809842,2.0,0.0,2.0,6.0,0.0,5.0,38.0,5.0,11.0,0.4909090909090909,0.3566569484936832,0.028514816077725984,0.02469801531344346,27.0,10.0,1.3214900860537369,


degree, degree cent., max neighbor degree, min neighbor degree, avg neighbor degree, std neighbor degree, eigenvector cent., closeness cent., harmonic cent., betweenness cent., coloring largest first, coloring smallest last, coloring independent set, coloring random sequential,coloring connected sequential dfs, coloring connected sequential bfs, edges within egonet, node clique number, number of cliques, clustering coef., square clustering coef., page rank, hubs value, triangles, core number, random 
25.0,0.8620689655172413,26.0,5.0,13.28,5.744701906974809,0.28176218613318615,0.8787878787878788,27.0,0.08726929884565353,1.0,6.0,3.0,8.0,0.0,0.0,160.0,8.0,45.0,0.45,0.3420306296086217,0.059415034550231435,0.05453242648395843,135.0,10.0,-0.7950668608422796,
6.0,0.20689655172413793,26.0,12.0,20.333333333333332,5.676462121975467,0.0938641791582513,0.5576923076923077,17.5,0.0009059905611629751,4.0,1.0,0.0,0.0,1.0,1.0,18.0,6.0,2.0,0.8,0.553072625698324,0.017338051781273414,0.018098818940724296,12.0,6.0,1.4723819512678782,
8.0,0.27586206896551724,26.0,13.0,20.0,4.123105625617661,0.12468637827594196,0.58,18.5,0.0006028454304316373,2.0,0.0,0.0,0.0,1.0,1.0,33.0,7.0,4.0,0.8928571428571429,0.5457317073170732,0.021348904766253552,0.0240717006264859,25.0,8.0,-2.8740482003424184,
5.0,0.1724137931034483,26.0,16.0,21.4,3.7202150475476548,0.08250579755084089,0.5471698113207547,17.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,1.0,1.0,0.6234309623430963,0.015165014290092644,0.015926215744195785,10.0,5.0,-0.5766541383411562,
12.0,0.41379310344827586,26.0,11.0,16.5,5.737304826019502,0.1571323574100548,0.6304347826086957,20.5,0.008167352625480705,4.0,1.0,0.0,0.0,1.0,1.0,54.0,7.0,12.0,0.6363636363636364,0.4034334763948498,0.030168424383452956,0.030317525992854654,42.0,10.0,1.79040591667657,
6.0,0.20689655172413793,25.0,11.0,17.833333333333332,5.927806414592913,0.08358293189009273,0.5576923076923077,17.5,0.00158445823470454,0.0,2.0,0.0,1.0,1.0,1.0,16.0,5.0,3.0,0.6666666666666666,0.44345238095238093,0.017506299223868007,0.01612216024887345,10.0,6.0,0.029780768494198327,
6.0,0.20689655172413793,26.0,11.0,19.5,5.909032633745278,0.0894236928446857,0.5576923076923077,17.5,0.0010741652983032293,5.0,2.0,0.0,0.0,1.0,1.0,18.0,6.0,2.0,0.8,0.48324022346368717,0.017442484803807896,0.017233918810840868,12.0,6.0,0.03368829879355186,
15.0,0.5172413793103449,26.0,11.0,17.266666666666666,5.144144459696114,0.20788692747560036,0.6744186046511628,22.0,0.010516078065339149,7.0,7.0,4.0,0.0,1.0,1.0,87.0,8.0,16.0,0.6857142857142857,0.44014084507042256,0.03610785666761479,0.04015747280934632,72.0,10.0,-0.27366886488946834,
11.0,0.3793103448275862,26.0,10.0,17.454545454545453,5.549179077102492,0.15446106424871028,0.6170212765957447,20.0,0.00490371697268249,7.0,7.0,1.0,0.0,1.0,1.0,50.0,8.0,6.0,0.7090909090909091,0.4702886247877759,0.027768096915807634,0.02985570794020356,39.0,10.0,-0.746992435222098,
6.0,0.20689655172413793,26.0,12.0,20.833333333333332,4.597704741377907,0.09606691888202126,0.5576923076923077,17.5,0.0,2.0,0.0,0.0,0.0,1.0,1.0,21.0,7.0,1.0,1.0,0.5826330532212886,0.017297351889246283,0.018525811756041788,15.0,6.0,-0.5317329254911902,
10.0,0.3448275862068966,26.0,11.0,18.6,5.499090833947008,0.1448234047482547,0.6041666666666666,19.5,0.0034640920108900404,6.0,2.0,0.0,0.0,1.0,1.0,43.0,7.0,7.0,0.7333333333333333,0.4624277456647399,0.025684192323456333,0.027939162950287574,33.0,10.0,0.8482462135344807,
26.0,0.896551724137931,25.0,5.0,13.307692307692308,5.419120215064937,0.29239888773329775,0.90625,27.5,0.09198737086668121,0.0,5.0,7.0,4.0,2.0,2.0,171.0,8.0,51.0,0.4461538461538462,0.33738074588031225,0.06134848802079662,0.05657959134748338,145.0,10.0,-2.591259026714497,
22.0,0.7586206896551724,26.0,6.0,13.727272727272727,6.069160629263461,0.25315349808265786,0.8055555555555556,25.5,0.060494308647018005,3.0,4.0,5.0,2.0,3.0,3.0,131.0,8.0,30.0,0.47186147186147187,0.34905885156063854,0.05269500414099529,0.04896953491682339,109.0,10.0,-0.8817544394922774,
21.0,0.7241379310344828,26.0,5.0,14.380952380952381,6.027525674738946,0.2528168936016417,0.7837837837837838,25.0,0.045847071647564255,4.0,1.0,8.0,7.0,5.0,4.0,131.0,8.0,32.0,0.5238095238095238,0.37229987293519695,0.050134230944668595,0.04891637837733296,110.0,10.0,0.13605536871524987,
24.0,0.8275862068965517,26.0,6.0,14.25,5.157922708481261,0.2842153595908321,0.8529411764705882,26.5,0.06096464427745216,2.0,0.0,9.0,3.0,4.0,5.0,166.0,8.0,61.0,0.5144927536231884,0.35140330642060746,0.05617112995904458,0.05495646241551113,142.0,10.0,-0.33945011959832183,
16.0,0.5517241379310345,26.0,5.0,15.875,6.203577596838779,0.206570130745865,0.6904761904761905,22.5,0.018962462004333925,6.0,2.0,2.0,1.0,6.0,6.0,89.0,8.0,19.0,0.6083333333333333,0.4004089979550102,0.038912525619646934,0.03992603965756669,73.0,10.0,0.7731255361425525,
19.0,0.6551724137931034,26.0,5.0,14.736842105263158,6.068400511217345,0.23169967488060986,0.7435897435897436,24.0,0.039630053854191785,5.0,3.0,6.0,5.0,7.0,7.0,112.0,8.0,24.0,0.543859649122807,0.37184554575858925,0.045658264389227904,0.04480456291696556,93.0,10.0,2.104143839030808,
18.0,0.6206896551724138,26.0,8.0,15.333333333333334,5.587684871413404,0.22756078618203474,0.725,23.5,0.023352215655171323,5.0,3.0,6.0,5.0,7.0,7.0,110.0,8.0,30.0,0.6013071895424836,0.39231278992710406,0.042875386167330026,0.04401046914116852,92.0,10.0,0.6275811002304604,
15.0,0.5172413793103449,26.0,11.0,17.133333333333333,5.17515431868676,0.2054956892424613,0.6744186046511628,22.0,0.010933278544115983,6.0,2.0,2.0,1.0,6.0,6.0,85.0,8.0,17.0,0.6666666666666666,0.4352629253203712,0.036111588833673366,0.03968968084918722,70.0,10.0,1.5563150140505684,
15.0,0.5172413793103449,26.0,10.0,16.066666666666666,5.519259209551787,0.1954217903346087,0.6744186046511628,22.0,0.01351042225426462,3.0,4.0,5.0,2.0,3.0,3.0,82.0,8.0,18.0,0.638095238095238,0.4073385973060845,0.03636742681609284,0.037768896134302524,67.0,10.0,-0.03528739371041322,
12.0,0.41379310344827586,26.0,6.0,16.583333333333332,6.885471822774545,0.16002984878264218,0.6304347826086957,20.5,0.007921846899679414,6.0,2.0,2.0,1.0,6.0,6.0,59.0,8.0,7.0,0.7121212121212122,0.42246376811594205,0.0305441822565264,0.03090789855081349,47.0,10.0,-0.22828530401673555,
12.0,0.41379310344827586,26.0,6.0,17.0,6.429100507328637,0.161459744617999,0.6304347826086957,20.5,0.010195373865324604,7.0,7.0,1.0,6.0,8.0,8.0,56.0,8.0,8.0,0.6666666666666666,0.4153846153846154,0.030323565507159225,0.03116023666217589,44.0,10.0,-0.8862575292351786,
11.0,0.3793103448275862,26.0,6.0,16.454545454545453,6.583224360084245,0.14501190325762375,0.6170212765957447,20.0,0.007580822297571067,8.0,8.0,1.0,6.0,5.0,4.0,47.0,7.0,7.0,0.6545454545454545,0.4144222415291051,0.028259622857671717,0.027983301256327066,36.0,10.0,0.9121663413061373,
13.0,0.4482758620689655,26.0,6.0,15.076923076923077,5.7306401637505155,0.16023181147125193,0.6444444444444445,21.0,0.016002121851875547,1.0,4.0,1.0,2.0,3.0,0.0,54.0,7.0,12.0,0.5256410256410257,0.38260300850228907,0.032591795988793006,0.03096260355462754,41.0,10.0,-1.1787057805641137,
13.0,0.4482758620689655,25.0,6.0,15.384615384615385,5.6912680963365885,0.1663391631748097,0.6444444444444445,21.0,0.011790344302659574,0.0,5.0,1.0,4.0,2.0,2.0,61.0,7.0,15.0,0.6153846153846154,0.42251655629139073,0.03247194062079421,0.03220232151237954,48.0,10.0,-1.0019057313032111,
11.0,0.3793103448275862,26.0,11.0,18.727272727272727,5.118432094639727,0.16348475717579236,0.6170212765957447,20.0,0.0031001087035569795,6.0,2.0,0.0,1.0,6.0,6.0,54.0,8.0,7.0,0.7818181818181819,0.5044390637610977,0.027608855730710247,0.03158128493415087,43.0,10.0,-1.3679655240982747,
12.0,0.41379310344827586,26.0,6.0,16.416666666666668,6.251111012363233,0.15726699920246123,0.6304347826086957,20.5,0.010536603516899083,4.0,1.0,4.0,0.0,5.0,4.0,54.0,7.0,10.0,0.6363636363636364,0.40561959654178675,0.030297106198778918,0.03036600577729611,42.0,10.0,-0.20216305356326406,
11.0,0.3793103448275862,24.0,11.0,14.454545454545455,3.7746435440048534,0.13218861894883088,0.6170212765957447,20.0,0.008586480569239191,0.0,5.0,3.0,4.0,2.0,2.0,41.0,6.0,10.0,0.5454545454545454,0.38943248532289626,0.028134121535942823,0.0255633051932526,30.0,10.0,-0.45716628566267514,
10.0,0.3448275862068966,26.0,11.0,16.7,4.817675788178362,0.13535808674207933,0.6041666666666666,19.5,0.004287563831898807,4.0,1.0,0.0,7.0,0.0,4.0,41.0,6.0,9.0,0.6888888888888889,0.44029850746268656,0.025738236739316415,0.026172489185379566,31.0,10.0,-0.631179057200894,
11.0,0.3793103448275862,26.0,6.0,14.181818181818182,5.490788680196909,0.12787469592012737,0.6170212765957447,20.0,0.012183588168809842,2.0,0.0,2.0,1.0,0.0,5.0,38.0,5.0,11.0,0.4909090909090909,0.3566569484936832,0.028514816077725984,0.02469801531344346,27.0,10.0,-0.5571463074629293,


25.0,0.8620689655172413,26.0,5.0,13.28,5.744701906974809,0.28176218613318615,0.8787878787878788,27.0,0.08726929884565353,1.0,6.0,3.0,3.0,0.0,0.0,160.0,8.0,45.0,0.45,0.3420306296086217,0.059415034550231435,0.05453242648395844,135.0,10.0,0.5807144232361757,
6.0,0.20689655172413793,26.0,12.0,20.333333333333332,5.676462121975467,0.0938641791582513,0.5576923076923077,17.5,0.0009059905611629751,4.0,1.0,0.0,1.0,1.0,1.0,18.0,6.0,2.0,0.8,0.553072625698324,0.017338051781273414,0.018098818940724296,12.0,6.0,-0.4302976436773587,
8.0,0.27586206896551724,26.0,13.0,20.0,4.123105625617661,0.12468637827594196,0.58,18.5,0.0006028454304316373,2.0,0.0,0.0,1.0,1.0,1.0,33.0,7.0,4.0,0.8928571428571429,0.5457317073170732,0.021348904766253552,0.0240717006264859,25.0,8.0,0.8023409551223674,
5.0,0.1724137931034483,26.0,16.0,21.4,3.7202150475476548,0.08250579755084089,0.5471698113207547,17.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,1.0,1.0,0.6234309623430963,0.015165014290092644,0.015926215744195785,10.0,5.0,-0.40282785690189415,
12.0,0.41379310344827586,26.0,11.0,16.5,5.737304826019502,0.1571323574100548,0.6304347826086957,20.5,0.008167352625480705,4.0,1.0,0.0,0.0,1.0,1.0,54.0,7.0,12.0,0.6363636363636364,0.4034334763948498,0.030168424383452956,0.030317525992854647,42.0,10.0,1.0546912917758031,
6.0,0.20689655172413793,25.0,11.0,17.833333333333332,5.927806414592913,0.08358293189009273,0.5576923076923077,17.5,0.00158445823470454,0.0,2.0,0.0,0.0,1.0,1.0,16.0,5.0,3.0,0.6666666666666666,0.44345238095238093,0.017506299223868007,0.016122160248873443,10.0,6.0,0.2974097805961842,
6.0,0.20689655172413793,26.0,11.0,19.5,5.909032633745278,0.0894236928446857,0.5576923076923077,17.5,0.0010741652983032293,5.0,2.0,0.0,0.0,1.0,1.0,18.0,6.0,2.0,0.8,0.48324022346368717,0.017442484803807896,0.017233918810840864,12.0,6.0,0.2920919803256325,
15.0,0.5172413793103449,26.0,11.0,17.266666666666666,5.144144459696114,0.20788692747560036,0.6744186046511628,22.0,0.010516078065339149,7.0,7.0,4.0,0.0,1.0,1.0,87.0,8.0,16.0,0.6857142857142857,0.44014084507042256,0.03610785666761479,0.04015747280934631,72.0,10.0,-0.04189805179009454,
11.0,0.3793103448275862,26.0,10.0,17.454545454545453,5.549179077102492,0.15446106424871028,0.6170212765957447,20.0,0.00490371697268249,7.0,7.0,1.0,0.0,1.0,1.0,50.0,8.0,6.0,0.7090909090909091,0.4702886247877759,0.027768096915807634,0.029855707940203553,39.0,10.0,1.20829478449566,
6.0,0.20689655172413793,26.0,12.0,20.833333333333332,4.597704741377907,0.09606691888202126,0.5576923076923077,17.5,0.0,2.0,0.0,0.0,0.0,1.0,1.0,21.0,7.0,1.0,1.0,0.5826330532212886,0.017297351889246283,0.018525811756041788,15.0,6.0,0.20638631048279574,
10.0,0.3448275862068966,26.0,11.0,18.6,5.499090833947008,0.1448234047482547,0.6041666666666666,19.5,0.0034640920108900404,6.0,2.0,0.0,0.0,1.0,1.0,43.0,7.0,7.0,0.7333333333333333,0.4624277456647399,0.025684192323456333,0.02793916295028757,33.0,10.0,0.654743471948598,
26.0,0.896551724137931,25.0,5.0,13.307692307692308,5.419120215064937,0.29239888773329775,0.90625,27.5,0.09198737086668121,0.0,5.0,7.0,5.0,2.0,2.0,171.0,8.0,51.0,0.4461538461538462,0.33738074588031225,0.06134848802079662,0.05657959134748338,145.0,10.0,0.03555636856413226,
22.0,0.7586206896551724,26.0,6.0,13.727272727272727,6.069160629263461,0.25315349808265786,0.8055555555555556,25.5,0.060494308647018005,3.0,4.0,5.0,7.0,3.0,3.0,131.0,8.0,30.0,0.47186147186147187,0.34905885156063854,0.05269500414099529,0.04896953491682338,109.0,10.0,-0.24818743558550038,
21.0,0.7241379310344828,26.0,5.0,14.380952380952381,6.027525674738946,0.2528168936016417,0.7837837837837838,25.0,0.045847071647564255,4.0,1.0,8.0,8.0,5.0,4.0,131.0,8.0,32.0,0.5238095238095238,0.37229987293519695,0.050134230944668595,0.04891637837733297,110.0,10.0,-0.6481151443369165,
24.0,0.8275862068965517,26.0,6.0,14.25,5.157922708481261,0.2842153595908321,0.8529411764705882,26.5,0.06096464427745216,2.0,0.0,9.0,9.0,4.0,5.0,166.0,8.0,61.0,0.5144927536231884,0.35140330642060746,0.05617112995904458,0.05495646241551113,142.0,10.0,0.3806239386533241,
16.0,0.5517241379310345,26.0,5.0,15.875,6.203577596838779,0.206570130745865,0.6904761904761905,22.5,0.018962462004333925,6.0,2.0,2.0,6.0,6.0,6.0,89.0,8.0,19.0,0.6083333333333333,0.4004089979550102,0.038912525619646934,0.03992603965756669,73.0,10.0,1.3244341829723685,
19.0,0.6551724137931034,26.0,5.0,14.736842105263158,6.068400511217345,0.23169967488060986,0.7435897435897436,24.0,0.039630053854191785,5.0,3.0,6.0,2.0,7.0,7.0,112.0,8.0,24.0,0.543859649122807,0.37184554575858925,0.045658264389227904,0.044804562916965565,93.0,10.0,-1.8388318168876308,
18.0,0.6206896551724138,26.0,8.0,15.333333333333334,5.587684871413404,0.22756078618203474,0.725,23.5,0.023352215655171323,5.0,3.0,6.0,2.0,7.0,7.0,110.0,8.0,30.0,0.6013071895424836,0.39231278992710406,0.042875386167330026,0.04401046914116852,92.0,10.0,0.41580345512075356,
15.0,0.5172413793103449,26.0,11.0,17.133333333333333,5.17515431868676,0.2054956892424613,0.6744186046511628,22.0,0.010933278544115983,6.0,2.0,2.0,1.0,6.0,6.0,85.0,8.0,17.0,0.6666666666666666,0.4352629253203712,0.036111588833673366,0.03968968084918722,70.0,10.0,0.951889902599236,
15.0,0.5172413793103449,26.0,10.0,16.066666666666666,5.519259209551787,0.1954217903346087,0.6744186046511628,22.0,0.01351042225426462,3.0,4.0,5.0,4.0,3.0,3.0,82.0,8.0,18.0,0.638095238095238,0.4073385973060845,0.03636742681609284,0.03776889613430252,67.0,10.0,1.0555139114704102,
12.0,0.41379310344827586,26.0,6.0,16.583333333333332,6.885471822774545,0.16002984878264218,0.6304347826086957,20.5,0.007921846899679414,6.0,2.0,2.0,6.0,6.0,6.0,59.0,8.0,7.0,0.7121212121212122,0.42246376811594205,0.0305441822565264,0.03090789855081349,47.0,10.0,-0.6481272885017726,
12.0,0.41379310344827586,26.0,6.0,17.0,6.429100507328637,0.161459744617999,0.6304347826086957,20.5,0.010195373865324604,7.0,7.0,1.0,4.0,8.0,8.0,56.0,8.0,8.0,0.6666666666666666,0.4153846153846154,0.030323565507159225,0.03116023666217589,44.0,10.0,0.4913879703287494,
11.0,0.3793103448275862,26.0,6.0,16.454545454545453,6.583224360084245,0.14501190325762375,0.6170212765957447,20.0,0.007580822297571067,8.0,8.0,1.0,1.0,5.0,4.0,47.0,7.0,7.0,0.6545454545454545,0.4144222415291051,0.028259622857671717,0.027983301256327055,36.0,10.0,-1.4730952489877858,
